MEMBER_NUMBER;PROGRAM_NAME;PARTNER_ALIAS;TRANSACTION_DATE;ACTIVITY_DATE;PARENT_SIGNATURE_CODE;PARENT_TRANSACTION_ID;TRANSACTION_PRODUCT_NAME;TRANSACTION_AMOUNT;TRANSACTION_TYPE;TRANSACTION_SUBTYPE;TRANSACTION_CHANNEL;TRANSACTION_COMMENTS;TRANSACTION_POINT_NAME;OWNER_LOGIN;EXTERNAL;EXTERNAL_PARTNER_ID
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131025367312;1-1O8W46ZX;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131026803070;1-1O8VYDEY;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131078672060;1-1O8VARU2;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131019915679;1-1O8VYD5P;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131052699130;1-1O82K0JY;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131025534724;1-1O839MSZ;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131080277229;1-1O92T0FY;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131083994447;1-1O7W5KK4;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131023860475;1-1O8VEYUC;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131052069830;1-1O8UQXYX;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131052247199;1-1O83EUKI;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131082827367;1-1O7VBWZS;Product XXXXXXX Inter AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131054412556;1-1O8W278G;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;CCC;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131024709285;1-1O7W1L9I;Product XXXXXXX Platinum AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;BBB;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131079556511;1-1O82K1S4;Product XXXXXXX Infinite AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
000000000;Program XXXXX;AAA;09/06/2022 14:00:02;09/06/2022 14:00:02;1-131052265363;1-1O821UP2;Product XXXXXXX Gold AAAAAA XXXXXXX;333;Accrual;Product;;;Milhas;;;
